resourcename,resourcetype,resourcegroup,subscriptionname,recommendationdisplayname,state,severity,os,environment,businessowner,In-HyperCare-scope
st4w10125,virtualmachines,st-infoworks-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,,False
st2w3538,virtualmachines,st-kofaxcapture-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,ssmith5,True
st4w30001,virtualmachines,st-nap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,david anderson,False
st4w30002,virtualmachines,st-nap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,david anderson,False
st4w30003,virtualmachines,st-nap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,david anderson,False
st3w10128,virtualmachines,st-nap-manager-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,,False
st3w10116,virtualmachines,st-nap-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,,False
st3w10126,virtualmachines,st-nap-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,,False
st2l10084,virtualmachines,st-netbase-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,preprod,paul taylor,False
st2w10020,virtualmachines,st-netbase-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,paul taylor,False
st4w10124,virtualmachines,st-infoworks-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,,False
st4w10130,virtualmachines,st-sap-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,amit sharma,False
st4w3092,virtualmachines,st-stuca-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,pbaxte1,False
lvsb4w01,virtualmachines,st-sappoc-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,,,False
st3w10069,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10070,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10071,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10072,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10074,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10075,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st2w3043,virtualmachines,st-starlims-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,starlims (vendor support),True
st4w3349,virtualmachines,st-storm-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,homall1,True
st4w3350,virtualmachines,st-storm-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,homall1,True
st2w3349,virtualmachines,st-storm-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,homall1,True
st3w10068,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st2w3350,virtualmachines,st-storm-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,homall1,True
st2w3092,virtualmachines,st-stuca-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,pbaxte1,False
st4w3308,virtualmachines,st-swim-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,jscall1,False
st4w3334,virtualmachines,st-swim-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,jscall1,False
st4w3338,virtualmachines,st-swim-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,jscall1,False
st4w40003,virtualmachines,st-symantecpoc-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,sam.mathew@severntrent.co.uk,False
st4l10156,virtualmachines,st-target-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,dev,,False
st4l10157,virtualmachines,st-target-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,dev,,False
st4w10159,virtualmachines,st-target-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,,False
st3w3054,virtualmachines,st-dwsp-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,swatsoa,True
st4w10152,virtualmachines,st-tosca-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,default,dean banfield,False
st3w3350,virtualmachines,st-storm-uat-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,uat,homall1,True
st2w10132,virtualmachines,st-sap-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,amit sharma,False
st3w10067,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10065,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st4w10010,virtualmachines,st-sappoc-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10011,virtualmachines,st-sappoc-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10012,virtualmachines,st-sappoc-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10033,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10034,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10035,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10036,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10038,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10039,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10040,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st3w10066,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st4w10041,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10043,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10044,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10045,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st4w10047,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st3w10058,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10059,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10061,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10062,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10063,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st3w10064,virtualmachines,st-sapprj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,simon.mac@severntrent.co.uk,False
st4w10042,virtualmachines,st-sapprj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,simon.mac@severntrent.co.uk,False
st3w10150,virtualmachines,st-devops-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,,False
st3l10142,virtualmachines,st-devops-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,test,,False
st2l3040,virtualmachines,st-totalview-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,preprod,"towers,scott",False
st3w10144,virtualmachines,st-devops-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,,False
st2w3511,virtualmachines,sp2016spike,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,,,False
testcmpqa,virtualmachines,st-cmp-projqa-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,projqa,hbenne1,False
st1w1637,virtualmachines,st-cmpdevworkstation-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,hbenne1,False
st4w3158,virtualmachines,st-cmpproj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,hbenne1,True
st4w3438,virtualmachines,st-cmpproj-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,hbenne1,True
st3w3152,virtualmachines,st-cmpproj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,hbenne1,True
st3w3438,virtualmachines,st-cmpproj-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,test,hbenne1,True
st4w10050,virtualmachines,st-ctximage-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,,,False
st2w19010,virtualmachines,st-ctxmachine-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,,,False
st2w10146,virtualmachines,st-ctxmgmtpreprod-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,,False
st2w10147,virtualmachines,st-ctxmgmtpreprod-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,,False
st4w10154,virtualmachines,st-click-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,ian.randle@severntrent.co.uk,False
st4w20050,virtualmachines,st-ctxprofile-dev-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,dev,,False
st3w10052,virtualmachines,st-datastore-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,tbc,False
st3w10083,virtualmachines,st-datastore-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,,True
st3w20053,virtualmachines,st-datastore-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,,,False
st4w10056,virtualmachines,st-datastore-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,mark gwynne,False
st2w10053,virtualmachines,st-datastore-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,tbc,False
st2w10056,virtualmachines,st-datastore-preprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,preprod,mark gwynne,False
st2w10051,virtualmachines,st-dcp-dynamics-nonprod-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,nonprod,lisa.russell@severntrent.co.uk,False
st4w10057,virtualmachines,st-deviibws-devtest-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,windows,devtest,tim watson,False
st3l10140,virtualmachines,st-devops-test-neu-rg,non-production,vulnerabilities in security configuration on your machines should be remediated,unhealthy,low,linux,test,,False
